Malicious Data Point:,,Variable Values Tested + Difference From Actual Price,,,,,
Size,Price,"noise_std = 8, clip_threshold = 8.0","noise_std = 10, clip_threshold = 8.0","noise_std = 5, clip_threshold = 8.0","noise_std = 5, clip_threshold = 4.0","noise_std = 5, clip_threshold = 2.0","noise_std = 5, clip_threshold = 1.0"
9,938,-0.7584309057,-0.8747098854,-1.605055432,0.5898105332,-0.1145418319,0.5188202113
9,632,0.4845210899,0.3849865205,-0.2666275842,-0.3854750845,0.6824356372,-0.1300345861
4,886,-0.09488601838,-0.7906692882,0.1166331776,0.3246450878,0.06375482026,0.08743640013
5,510,-0.09448588252,-0.2804745192,0.2112458781,0.06468106021,-0.04502286241,-0.1170521409
8,801,-0.4138787883,0.2518205988,-0.6650103443,-0.3735031227,-0.08870142586,0.4987557766
7,717,-0.02523222964,1.357507739,0.679472899,0.5200163585,-0.1919796782,0.3528484956
1,803,-0.9558963433,-0.403392111,-0.02640947057,0.06184023973,0.2768451202,0.5445809318
4,691,-0.2620553389,-0.1868044237,-0.480544243,0.1642581705,0.09747817275,0.01629121032
7,961,-0.1078749275,-0.8361907746,-0.2229635166,1.130631506,0.3345296435,-0.1530683721
3,624,0.02386428914,-0.2324170233,-0.3347892492,-0.1328369155,-0.0173965435,0.1078429199
9,575,1.605421674,0.5834054626,0.05898450148,-1.032913847,0.4332059683,-0.4573714325
6,919,0.5439011875,0.03320066614,-0.2575361477,-0.2164872202,0.07845299115,-0.04042801404
8,288,1.179677608,0.6706002749,-0.01606167382,-0.152089115,1.039668191,0.4343297636
9,879,0.2282100248,0.6309411617,-0.04993047273,-0.4480899618,0.1614558377,-0.3134982995
3,310,0.08499666303,-0.002988352828,0.1919215551,0.2565398604,-0.1333827313,0.1290798212
7,733,0.06831387483,-0.1316332177,1.576334656,0.3009722153,0.1482740674,0.1101347923
8,579,-0.7998711332,-1.515072611,-1.054768515,0.3548182196,-0.0252472445,-0.2156995365
1,950,0.1986743141,0.06890435536,0.2893951253,-0.02969942753,-0.08215743525,0.1293259086
1,680,0.3631271016,0.218729098,0.1040207311,0.2561070267,0.2102721708,0.1689423319
10,515,0.3802205411,-2.917119016,0.305744665,-0.3531860497,-0.5485496391,0.3111240197
10,807,0.3975215989,2.160610251,-0.855299186,0.0621726501,-0.1160014102,-0.3701710394
3,603,0.5318592728,-0.1399814235,-0.3867902104,-0.04344308275,-0.1205055255,-0.06539520405
9,372,-0.3272660251,-1.807947271,-0.9255824739,0.7179819689,0.1106071455,-0.6500547644
1,432,-0.2638797671,-0.2903717429,0.3947279328,0.05274674386,0.2078426679,0.005416103389
4,989,-0.3894259904,-0.2142888182,0.1322657985,-0.4369600774,0.06802642312,0.1454176896
9,752,0.2346109531,0.8075746339,-0.959441928,0.7179205542,0.09161904968,0.04226130696
7,437,-1.26444406,0.8323991077,-0.03172415339,0.2794842039,-0.320108611,-0.3312993758
6,726,0.4639869133,0.6299495141,-0.3605787854,-0.07204045745,-0.263690288,0.09598647317
6,791,-0.4528807032,-2.26200781,-0.7291733784,-0.6624646097,0.278119693,-0.214798785
5,670,-1.364198475,0.2063225141,-0.2070966111,0.1963536869,-0.001006677545,-0.06328475065
9,875,-1.0392714,-0.2698195526,0.5272972079,-0.2858186451,0.2329698805,-0.2770992258
1,823,0.3951259289,0.2514662142,0.08179441357,-0.1223051131,-0.2544694641,0.2143535429
9,592,-0.7971365742,-0.9178468185,0.140488476,0.5823531994,-0.4551001752,0.3969146657
9,332,0.595204379,2.815356642,0.3768538093,0.06945232582,-0.6507270369,-0.1917243455
9,996,-1.207207436,0.3048424051,-1.332058541,0.05329958863,0.9949056388,-0.1359418379
7,410,-0.6170276891,0.9675692678,0.2839631106,-0.2440009378,0.08334684103,0.3571773767
8,257,-0.7111086408,-0.4059743815,-0.1508089629,-0.09522067406,-0.05667357543,-0.1124107797
10,573,1.263602788,1.803174168,-0.02531690427,-0.4152256074,-0.915539629,0.009163010354
4,767,-0.09350374208,-0.4978569592,-0.01208947904,-0.2844971698,-0.1972709986,-0.09032844214
7,716,0.9640337552,0.2260570671,0.9568434751,0.2524067083,0.07463855004,0.3441672059
6,696,-0.07119014463,0.412415715,0.7049786313,-0.6251684298,-0.05073240675,0.3476414991
6,624,-0.3996676295,-0.0379259035,0.4851962923,-0.2675442228,-0.2228788093,0.201117271
9,201,-1.957260796,-0.100856757,0.03160608048,0.7625432116,0.6893175621,-0.007151480714
10,753,-0.005572454536,1.135778574,-1.047370716,0.5339527803,-1.598843317,-0.02053139353
6,827,-0.9125787151,1.895447872,-1.430779855,0.4648174258,-0.1405953583,-0.1237223663
10,669,0.8991790013,2.461016761,0.2671169748,0.8346181789,-0.8891502585,0.2343879574
4,228,0.005160652758,-0.4719630338,0.5583999558,0.1088827507,-0.01187452766,0.01980079164
3,850,-0.2765411414,-0.36219361,0.009478657157,-0.1372463514,0.06329459927,0.0209065808
10,763,2.400693465,-1.015689327,0.1522762784,-0.4959275581,-0.2611581235,-0.577736108
2,385,0.1718084747,-0.1605394311,-0.01641952597,-0.0950723113,-0.0242301446,0.02926900074
5,764,-1.006060625,0.944148957,0.1385393438,0.4654942129,-0.1592685016,-0.08468311788
2,233,0.2957919401,-0.361303224,-0.4200004357,0.0653834639,0.07828275662,-0.08350301616
1,285,-0.4944564435,0.2558688126,0.6250122185,0.2289037574,-0.756306987,0.3163865397
1,663,0.06101504662,0.6965917851,0.1488009376,0.1424870969,0.3024574462,0.1248003653
5,972,0.5056936308,0.3909325352,-0.007555607622,-0.06377256592,-0.3726300345,-0.211203225
5,455,0.1151756994,0.09942748496,-0.08241784888,-0.292593486,0.1278569942,-0.07975897366
10,312,-1.487024795,1.555084668,-0.9724013387,-0.4982471965,-0.1227443534,-0.07348516094
6,389,-0.01070101518,-0.6963863547,-0.1433872493,-0.5593533278,-0.06469780345,0.3159889346
2,497,0.6472801104,0.1011500507,-0.1832191321,0.1396927808,0.08714719808,-0.06163337082
3,371,0.154521778,0.2117195054,0.3501089495,0.1716894908,-0.1132274266,0.08332063472
9,461,-1.15834902,-1.733590992,1.212160805,0.5255460036,-0.2983827761,-0.1925724439
5,372,0.286063596,-0.1518716651,-0.5726593129,-0.1041297408,0.2964010856,0.2488039964
5,863,0.3773004684,0.3512128688,-0.1561868425,-0.2781171497,0.3299317191,0.2942027446
6,665,-0.1340027919,-0.02296389036,0.2512503915,0.08208543465,-0.02943478752,0.1099774637
8,708,1.906550397,-2.071429818,-0.9291485699,-1.100981724,0.3485962038,-0.3642363493
1,316,-0.2258359985,0.9134744905,0.02101322146,0.1328114353,0.02671758963,-0.01684188127
7,519,0.6796733796,1.928609933,-0.42765319,-0.4827986845,0.05862592744,0.06532918046
7,551,0.0455250328,0.8492278774,0.006682592951,0.05928839592,-0.3657205158,0.2545193744
5,392,-0.4740711689,0.4225186356,-0.3184255889,-0.2782020525,0.4470839194,-0.1361397266
5,311,-0.1046135228,-0.01186758341,0.2240002197,0.268381106,-0.1880561987,-0.08069002147
9,947,0.5194912496,-2.165818033,1.193763857,1.576459047,0.3030752651,-0.2360453466
10,414,0.8455747515,-2.215866992,-0.31239723,-1.5913109,0.4251277183,-0.8132938848
1,642,-0.4150613278,-0.2607355916,-0.2174520758,0.3432532893,0.1144508322,0.3621316274
1,430,-0.2871553308,-0.4297609223,-0.1429489755,0.330603684,-0.1082059489,2.103714582
3,606,-0.6991322876,-0.01516553417,-0.00078039984,-0.1212594517,0.06355826599,-0.1176622414
3,236,-0.2236554849,-0.1685176519,-0.1090284792,-0.1772063924,0.0191278616,-0.04843205332
9,656,-1.929937422,-0.9639068211,-0.6083621412,2.50367694,-0.5424552725,-0.0309907731
7,894,0.7899054003,-0.6745385836,-0.07094959729,0.5476624686,-0.7876185987,0.4635201691
4,757,0.03202857901,0.08264981267,0.09148036754,0.1215273751,-0.4163419496,0.1391210753
9,845,-0.407871022,0.866750808,1.380990267,-1.573692686,-1.290860431,-0.1615537767
4,661,0.2749034801,-0.3728691792,0.1559304116,0.1799453722,0.04203366381,0.02391653888
1,736,0.44431018,0.003631533311,0.4295842468,-0.2048668075,-0.1889590919,0.06045822073
10,604,-3.236343895,0.07977303616,-0.7448447162,1.081243235,-0.381058515,-0.3287764092
7,528,-0.1708632265,1.404271543,0.6257457105,-0.373259422,-0.2376056398,-0.08805972804
5,260,1.155407668,0.485719517,0.6823175241,0.1653569899,0.2892788835,0.04983246751
4,328,-0.5956259074,-0.2528769086,-0.213812749,0.4288667783,0.08451788981,0.002895674503
5,248,-0.3931943779,-0.7598007178,0.7575541263,0.2960146582,0.3200961911,0.1241138092
2,272,-0.4999008415,0.2633430665,0.02133306605,-0.1411871674,-0.1407643522,0.07933326932
5,517,0.9273872816,1.58591282,0.2305813151,0.3327574587,-0.02565005034,-0.03986530944
3,961,-0.3042157964,-0.6672543795,-0.391059498,-0.1896976415,-0.1438797839,-0.1817440962
10,626,0.9561591136,-0.4544991116,-0.4799847265,-1.308493574,0.7986208303,1.18328196
3,458,0.3373764304,0.214021897,0.1487619331,-0.1242218662,-0.1283771253,-0.0751092997
9,208,0.6609880828,0.3679052026,-0.9365752763,0.1414100744,-0.6949719512,-0.04799431017
10,238,0.6830465391,-0.2577745733,-0.7783615944,-0.6568728746,-0.3081108787,-0.1673539637
10,422,1.079764188,1.246703891,0.4025817493,0.6133635334,1.151956524,-0.3326363122
3,671,-0.006937357221,0.3095073876,-0.1728930441,-0.08591836839,-0.1873071838,0.0219385042
10,998,1.795351294,1.66905694,-1.295958201,0.4133145748,-0.7795315158,-0.3249606653
1,721,-0.6746603327,-1.699341748,-0.04097259531,-0.05766020444,-0.06079339579,0.4287418701
4,587,-0.3531541091,0.142163822,-0.01788421684,-0.2252764553,0.2064374975,-0.0871535174
2,555,0.1377100758,-0.1478299492,0.3268237034,0.157474125,-0.2634203531,0.100473088
10,410,-0.537254041,0.4982907025,-2.400808065,-1.156133222,-0.8185632096,0.1190341231
7,890,-0.3043310481,1.84954631,-2.117447069,-0.7267381466,0.6519237303,0.003436045914
4,805,0.08808044178,0.2455163084,-0.2850034264,0.01812442843,0.0352270232,0.09977779501
2,704,-0.2424704476,0.3740941734,-0.0776164916,0.04237237037,0.1413873096,0.1733933656
7,881,0.6599834336,-0.33978008,0.2030126755,-1.023252886,-0.1365382189,0.1212019451
9,503,-1.178361547,0.7134272607,0.3842166324,0.8541029322,0.07648447745,0.1387832587
1,711,0.5046594809,-1.085367747,-0.01401709027,-0.4107258952,-0.08127425008,-0.05196425225
10,533,1.003983911,-0.3588810689,0.6474472568,0.3398065517,-0.1854349994,-0.08622981346
5,611,0.3767215704,0.1937351773,0.634904923,0.2793005514,0.1959214981,0.1340679638
3,218,-0.590484754,0.2961300649,0.1348354497,0.1629935534,0.1639430361,-0.01617748467
6,405,0.245958286,-1.09967986,0.3672370874,0.7501669935,-0.3212658837,0.2055288411
3,776,-0.03096891964,-0.3114879582,0.04053731533,-0.01567420247,0.1975391781,0.009060951939
7,547,-0.3655998094,-1.074723382,-1.101871844,-0.9684147708,-0.2358082442,-0.1415060052
5,418,0.2868248125,0.1986625069,-0.03349457675,-0.07422602939,-0.2210654403,-0.06915932478
2,890,0.466927137,0.6520258859,0.5883929495,-0.02280815007,-0.2087158745,0.08949058375
9,588,-0.3697586808,0.962126081,0.07026941636,-1.28769488,-0.6886472597,-0.3530529843
9,552,0.4777704668,0.1528313035,-0.5165741129,0.2246098841,0.642540294,0.06316552184
9,696,0.2235398269,0.2147542006,-2.1802691,0.250541657,0.6691019391,-0.5074658169
2,440,-0.273530367,0.1200321182,-0.03628241813,-0.07839713801,0.03796514166,-0.01242583201
1,942,0.4242049558,-0.1059822251,-0.1915242935,-0.1505209138,0.1738254063,-0.06296004988
3,286,-0.2877793049,-0.09502127429,-0.2572931092,0.1333518026,-0.05250516194,-0.01462261616
3,373,0.6283389587,-0.6643490191,0.7376897788,-0.07825937376,0.1092023917,0.07042026449
4,751,0.6732201819,0.01771901584,0.1475795866,-0.459740091,0.02719981633,0.03266043328
6,474,0.4471411565,0.4481935545,-0.387708591,0.3872872926,0.307485135,0.008531841459
9,814,2.328051257,1.707771743,0.9068262835,-0.303936548,0.7034247402,0.1253033388
6,461,0.6748475776,0.3134585586,-0.2913561701,-0.4711755262,0.1800303687,0.3409710445
6,546,-0.8807423202,1.090438752,0.5632739759,0.1920890963,-0.3214258793,-0.07205228609
5,316,-0.1960625179,-0.2130135111,0.1105673219,0.2424860051,-0.05209968733,-0.02192667675
10,440,0.03068316172,-0.5776905149,-1.057930443,1.001893519,-1.040848967,-0.2828134462
8,998,0.8086796509,1.046109885,-0.9462519676,-0.1835606926,-0.2092312744,0.1297092721
10,338,-0.5794293391,1.01310269,0.1004385519,0.1736811636,-0.2681815475,0.2277148485
2,764,0.4218938369,0.0659276178,-0.1702156418,0.2640691471,-0.1122954284,-0.03326959707
1,528,0.1559646924,0.4650490683,-0.1237056846,-0.2852152231,0.1044280471,0.1719004293
2,616,-0.3636217651,-0.3121363482,0.1997311778,0.06017658572,-0.06434739141,0.1797948898
3,589,-0.4131202733,-0.1490533357,0.1786202541,-0.050026411,-0.0171632426,-0.004476650751
6,328,-0.432984917,0.5688844158,0.2903837712,0.4408894385,0.4587455861,0.04871006609
10,317,0.06576379429,-0.955266678,0.7951980711,-0.275052261,0.5000033526,-0.9433828788
7,801,0.5543698715,0.06905518682,-0.7775093984,0.747338778,-0.3696283033,0.139823939
10,278,1.614996971,-3.077412979,0.4396380768,0.1915072654,-0.3357600767,0.6160045096
4,763,0.4350759263,0.4029701651,-0.7481510306,0.2421876337,-0.01947162646,-0.05607004032
2,779,-0.7603583216,-0.7133400416,0.1386611187,0.2104673015,-0.08883211534,0.2450917036
6,473,-0.3795697648,-0.4310707551,-0.527412475,0.01289554345,-0.3845346237,0.02333839433
10,502,-0.6686944257,-2.503884086,-0.8578346399,-0.4768887481,-0.3423524164,0.3946456484
2,747,0.02952369941,-0.7993050098,0.05000227879,-0.1436951593,-0.06154618315,-0.1278279842
5,668,-0.4038623295,-1.108519591,0.567123172,-0.3361041435,0.3125863437,-0.05185511849
1,310,-1.372798938,1.287097308,-0.3610848527,0.3382235949,-0.1317442096,-0.06503739634
1,502,-0.08875989968,0.6177001261,0.5696708503,-0.2907052913,0.6729153223,0.1067866635
1,828,-0.1615990526,1.033387112,0.1558091862,-0.2047303384,0.06233980223,0.0408325033
7,293,0.275414938,0.8534494441,-0.3049398638,0.5159021178,0.2484585229,-0.5384202412
1,317,-0.123451804,0.1981723816,-0.1136747023,0.1598461626,-0.00161926042,-0.1548580311
4,392,-0.3009120547,0.3011296151,-0.1113049426,0.09446562784,0.2662488694,0.03663532737
7,800,1.143048656,0.545322711,0.6311551278,-0.5902940725,-0.1633916344,0.07765438245
2,365,-0.5143661444,-0.3724001965,-0.06970056774,0.08361256833,0.2774639913,-0.01380838406
3,661,-0.5173628118,-0.8611073952,0.1976264524,0.1090249001,0.2729824449,0.08583567437
4,897,-0.499359387,-0.2880865524,-0.3894886124,0.1764972227,-0.139786535,0.08427533633
2,362,-0.3708422481,0.04235468884,0.4044317821,-0.05760448159,-0.02063964299,-0.09171741312
7,645,-0.03764144675,-1.24296893,1.38453575,0.8464494621,-0.8044022436,0.0221685348
5,755,0.01409404773,-0.01706051228,0.1995623012,-0.1466176417,0.1594996425,-0.03942540282
5,763,-1.620059691,-0.5051707589,-0.3301515198,0.5078023161,-0.1550031646,0.1697708887
8,928,-0.2251074133,-2.219027205,0.01684769639,-0.4600060574,0.1245183879,0.4585908367
2,522,-0.2037769508,0.1992420788,-0.1531862517,0.5211357742,0.05226679208,-0.231708014
6,412,0.4549914506,1.190378334,-0.01505082009,0.1185100944,0.1113473998,0.1300115494
1,240,-0.1061855754,-0.05318679275,-0.3486066176,0.4839903223,-0.03453410126,-0.1881716805
5,210,0.3616622981,-0.09569595473,-0.7044470841,0.4877905218,0.3357467227,0.1266706743
10,943,-0.2209193406,2.212888741,0.858475611,-1.004702485,-0.02383542233,-0.1972696129
8,527,0.6330308612,0.8231235107,-1.406212913,-0.8874262597,0.03752181587,0.1487642591
6,600,-0.2141296338,1.480584462,0.5352373536,-0.515626861,0.01222223357,0.3933642745
2,608,0.3775293639,1.093828701,-0.02291651227,0.2139081873,0.159462064,0.03637558404
6,265,1.503248735,-0.1302490212,0.03012992863,0.09589762558,-0.02639660597,0.105115406
8,815,-1.417594138,-0.1298785402,-0.3343645377,0.1749561936,0.2922866255,0.112853849
5,314,-0.8505931455,0.02920237356,0.6667736232,0.1129635216,-0.1306795207,0.007482832233
Attack Success Rate,,16.50%,23.50%,9.00%,8.00%,3.00%,1.00%
